"audit_row","bottle","status","peated_id","skipped_fields","reason","source_urls"
"1538","Original source missing — Jura Tastival 2017 proposal only","SKIPPED — unresolved identity","B3237 (possible match only)","entire release","Only a Tastival 2017 candidate and proposed 51% ABV survive. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"1540","Original source missing — Jura The Paps proposal only","SKIPPED — unresolved identity","B2866 (possible match only)","entire release","Only a nineteen-year The Paps candidate and proposed 45.6% ABV survive. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"1544","Original source missing — Jura Turas-Mara proposal only","SKIPPED — unresolved identity","B856 (possible match only)","entire release","Only a Turas-Mara candidate and proposed 42% ABV survive. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"1551","Original source missing — Mars Komagatake Limited Edition proposal only","SKIPPED — unresolved identity","B13331 (possible match only)","entire release","Only a 2019 candidate and proposed 48% ABV survive; no original source year or edition is independently established. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"1553","The Kyoto Nishijin-Ori Aka-Obi Red Belt Label","ADDED — optional facts left blank","B52791","statedAge | distillers | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | caskNumber | outturn | image","The component distilleries, vintage and bottling year, cask strength, natural-color and chill-filtration status, cask numbers, outturn, malt PPM and flavor profile remain unknown. The packaging volume and barcode are evidence but are not editable Bottle identity fields in this API. Exact clean front and back stock-style images saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/8203335b/kyoto-nishijin-ori-red-belt-label | https://whiskyauctioneer.com/learn/explore-whisky/bottles/kyoto-nishijin-ori-aka-obi-red-belt-label | https://kyotoshuzo.com/2021/03/22/%E3%80%90%E4%BA%AC%E9%83%BD%E5%88%9D%E3%81%AE%E3%82%A6%E3%82%A4%E3%82%B9%E3%82%AD%E3%83%BC%E8%92%B8%E6%BA%9C%E6%89%80-%E4%BA%AC%E3%81%BF%E3%82%84%E3%81%93%E8%92%B8%E6%BA%9C%E6%89%80%E3%81%8B%E3%82%89/ | https://kyotoshuzo.com/project/ | https://www.whiskyshop.com/auctions/a49743-kyoto-nishijin-ori-red-belt | https://dekanta.com/products/kyoto-nishijin-ori-red-belt-label"
"1557","Lawrenny Estate Ascension - Limited Release","ADDED — optional facts left blank","B52447","statedAge | naturalColor | maltPhenolPpm | vintageYear | releaseMonth | releaseDay | caskNumber | outturn","Natural colour, exact age, vintage, exact release day/month, outturn, cask numbers, phenol and flavour profile not established. Finish duration differs between producer sources; omit it. No series, aliases, reference or grouping changes.","https://assets.whiskyauctioneer.com/2026-08/7044133-001.jpg | https://www.lawrenny.com/discover-ascension | https://www.lawrenny.com/news/new-australian-whiskies-in-time-for-christmas | https://www.whiskyhammer.com/item/174608/Other/Lawrenny---Ascension-Limited-Edition-50cl.html"
"1558","Lawrenny Estate Port Cask - Batch P2","ADDED — optional facts left blank","B52448","statedAge | singleCask | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | caskNumber","No release/bottling/vintage year established. WB's 2025 addition date is not a release date. No numeric age, actual cask number, single-cask or cask-strength claim, colour, filtration, phenol or flavour profile established for this batch. Do not copy facts from Ascension. No alias/reference/group changes.","https://assets.whiskyauctioneer.com/2026-08/7044120-001.jpg | https://www.whiskybase.com/whiskies/whisky/276643/lawrenny-port-cask | https://whiskyauctioneer.com/learn/explore-whisky/bottles/lawrenny-cellar-collection-port-cask-batch-p2"
"1559","Levi Serafino Acquavite di Vinaccia","SKIPPED — not whisky","","entire release","Exact label reads Acquavite di vinaccia and Levi Serafino: grape-pomace spirit, not whisky. Producer catalog corroborates grappa production. Exclude the entire row. No claim about the painted bottle's authenticity or date was needed or added. No production write.","https://whiskyauctioneer.com/whisky-lot/8213530/levi-serafino-acquavite-di-vinaccia | https://en.distilleriaromanolevi.com/grappa/"
"1560","Libarna Botte D'oro","SKIPPED — not whisky","","entire release","Exact front label names Libarna Botte D'Oro and explicitly describes Grappa pregiata invecchiata naturalmente. Exclude as grappa, not whisky. No inferred whisky category or production write.","https://whiskyauctioneer.com/whisky-lot/8205441a/libarna-botte-doro"
"1563","Original source missing — Lindores Abbey The Exclusive Cask proposal only","SKIPPED — unresolved identity","B1292 (possible match only)","entire release","Only a 2018 candidate and proposed 58.9% ABV survive. The original exact cask is absent. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"1572","Mac Dugan Rare 8-year-old","ADDED — optional facts left blank","B52792","distillers | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | bottlingYear | releaseYear | releaseMonth | releaseDay | caskNumber | outturn | image","The component distilleries, bottling and release year, cask strength, natural-color and chill-filtration status, exact cask identifiers, outturn, malt PPM and flavor profile remain unknown. The 1978 minimum implied by vintage plus age is not stored as an exact bottling year. Exact clean front and back images saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/8212911/mac-dugan-1970-8-year-old-scotch-whisky | https://www.just-whisky.co.uk/product/mac-dugan-8-years-old-1970-blended-whisky-75cl-1384480 | https://www.whiskybase.com/whiskies/brand/82649/mac-dugan | https://whiskyparadise.com/looking_find.asp?Categoria=&DataDistillazione=1970&Eta=&Imbottigliatore=&Marca=&Search_D=Search+details&offset=120&ricerca="
"1575","Martell Medaillon Fine Champagne 1960s","SKIPPED — not whisky","","entire release","Exact front label reads Martell, Medaillon, Fine Champagne and Cognac. Exclude as cognac, not whisky. The auction's decade estimate is not imported as a date. No production write.","https://whiskyauctioneer.com/whisky-lot/8213493/martell-medaillon-fine-champagne-1960s"
"1582","Muirhead's Blended Scotch Whisky","ADDED — optional facts left blank","B52793","statedAge | distillers | caskStrength | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | maturation | caskNumber | outturn | image","The component distilleries, exact bottling and release dates, maturation, cask strength, chill-filtration status, cask identifiers, outturn, malt PPM and flavor profile remain unknown. The independent 1980s estimate is not stored as an exact year. Exact clean front and back images saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/5283384/muirheads-scotch-whisky | https://www.thewhiskyexchange.com/p/24890/muirheads-bot1980s | https://www.muirheads-whisky.com/history/ | https://www.whiskybase.com/nl/whiskies/whisky/214460/muirheads-blended-scotch-whisky | https://www.awardrobeofwhisky.com/bottle/muirheads-bot1980s-blended-scotch-whisky"
"1583","Ohtani Whisky Spanish Oak New Barrel - Whisky Lovers Nagoya 2026","ADDED — optional facts left blank","B52794","statedAge | maltPhenolPpm | vintageYear | releaseMonth | releaseDay | caskNumber | outturn | image","The vintage, exact age, cask number, outturn, malt phenol PPM, flavor profile and exact release month and day remain unknown. A specialist guessed three years and 80 ppm but explicitly described those details as uncertain, so they are not stored. Exact clean front and back images saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/5280091/niigata-kameda-ohtani-whisky | https://www.whiskybase.com/whiskies/whisky/305627/niigata-kameda | https://fishborn.thebase.in/blog/2026/02/18/165115 | https://www.whisk-e-y-lovers-nagoya.jp/pages/8870914/page_202504101419 | https://kameda-distillery.com/pages/about"
"1584","Nonino 1992 Acquavite d'uva Picolit","SKIPPED — not whisky","","entire release","Exact bottle and seal identify Acquavite d'Uva. Producer collection catalog, pages 1 and 4, identifies whole-grape spirit and the 1992-vintage Picolit release. Exclude as grape spirit, not whisky. No inferred whisky vintage, category or production write.","https://whiskyauctioneer.com/whisky-lot/8213537/nonino-1992-acquavite-duva-picolit | https://www.grappanonino.it/app/uploads/2024/10/Collezione-Nonino-1984_2009_ING-ok.pdf"
"1585","Nonino 2000 Collezione Nonino 2001","SKIPPED — not whisky","","entire release","Exact box reads Collezione Nonino 2001 and UE; seal identifies grape spirit. Producer catalog page 8 identifies 2001 Opera Alchemica, vintage 2000, as Acquavite d'Uva Picolit. Exclude the entire row as grape spirit, not whisky. No production write.","https://whiskyauctioneer.com/whisky-lot/8213536/nonino-2000-collezione-nonino-2001 | https://www.grappanonino.it/app/uploads/2024/10/Collezione-Nonino-1984_2009_ING-ok.pdf"
"1586","Nonino 2001 Collezione Nonino 2002 Le Guna","SKIPPED — not whisky","","entire release","Exact box explicitly reads Acquavite d'uva Cru Monovitigno Picolit and Collezione Nonino 2002. Producer catalog page 8 corroborates Le Guna, vintage 2001, as grape spirit. Exclude the entire row, not whisky. No production write.","https://whiskyauctioneer.com/whisky-lot/8213561/nonino-2001-collezione-nonino-2002-le-guna | https://www.grappanonino.it/app/uploads/2024/10/Collezione-Nonino-1984_2009_ING-ok.pdf"
"1587","Nonino 2002 Yin Yang","SKIPPED — not whisky","","entire release","Exact box and tag identify Collezione Nonino 2003 Acquavite d'Uva Picolit. Producer catalog page 9 and producer announcement identify Yin Yang with 2002 harvest. Exclude as grape spirit, not whisky. The auction's generic brandy category does not authorize any whisky category. No production write.","https://whiskyauctioneer.com/whisky-lot/8213563/nonino-2002-yin-yang | https://www.grappanonino.it/app/uploads/2024/10/Collezione-Nonino-1984_2009_ING-ok.pdf | https://www.grappanonino.it/en/news/high-spirit-craftsmanship-in-via-montenapoleone-milan/"
"1588","Nonino 2007 Collezione Nonino 2008 L'Athanor","SKIPPED — not whisky","","entire release","Exact box identifies Acquavite d'uva Picolit, vendemmia 2007 and Collezione Nonino through 2008. Producer catalog page 10 and announcement corroborate L'Athanor as Picolit grape spirit. Exclude the entire row, not whisky. No production write.","https://whiskyauctioneer.com/whisky-lot/8213562/nonino-2007-collezione-nonino-2008-lathanor | https://www.grappanonino.it/app/uploads/2024/10/Collezione-Nonino-1984_2009_ING-ok.pdf | https://www.grappanonino.it/en/news/high-spirit-craftsmanship-in-via-montenapoleone-milan/"
"1589","O'Reardon Irish Whiskey","ADDED — optional facts left blank","B52795","statedAge | distillers | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | caskNumber | outturn | image","The source distillery or distilleries, exact numerical stated age, vintage, bottling and release dates, cask strength, natural-color and chill-filtration status, cask identifiers, outturn, malt PPM and flavor profile remain unknown. The label states only that it was aged for over three years, so statedAge remains null while noAgeStatement is false. Exact clean front and back images saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/8203332b/oreardon-irish-whiskey | https://whiskyauctioneer.com/learn/explore-whisky/bottles/oreardon-irish-whiskey | https://www.proudirishwhiskey.com/ | https://www.spirlix.com/spirit/o-reardon-irish-whiskey/ | https://www.trademarkelite.com/europe/trademark/trademark-detail/019117879/O-REARDON"
"1591","Ocean Whisky Co. Heaven","ADDED — optional facts left blank","B52796","statedAge | distillers | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseDay | maturation | caskNumber | outturn | image","The component distilleries, bottling date, exact release day, maturation, cask strength, natural-color and chill-filtration status, cask identifiers, outturn, malt PPM and flavor profile remain unknown. Packaging volume and barcode are evidence but are not editable Bottle identity fields in this API. Exact clean front and back images saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/5283836/ocean-whisky-heaven | https://www.whiskybase.com/whiskies/whisky/65237/karuizawa-heaven | https://japanesewhisky.livedoor.blog/archives/44282459.html | https://www.australianwhiskyauctions.com.au/lot-310288/karuizawa-heaven-ocean-whisky | https://whiskyauctioneer.com/learn/explore-whisky/companies/sanraku-shuzo-co"
"1601","Oldfield's Blue Label 5-year-old","ADDED — optional facts left blank","B52797","distillers | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | maturation | caskNumber | outturn | image","The component distilleries, exact bottling and release dates, maturation, cask strength, natural-color and chill-filtration status, cask identifiers, outturn, malt PPM and flavor profile remain unknown. Independent sources estimate the presentation to the 1970s, so no exact year is stored. Exact clean front and back images saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/5280822/oldfields-5-year-old-blue-label-scotch-whisky-orlandi | https://whiskyauctioneer.com/learn/explore-whisky/bottles/oldfields-5-year-old-blue-label-scotch-whisky-1970s | https://whisky.auction/auctions/lot/30329/oldfield-s-blue-label-5-year-old | https://www.whiskyparadise.com/looking_category.asp?Marca=Oldfield"
"1604","Original source missing — Pappy Van Winkle's 15-year-old Family Reserve candidate only","SKIPPED — unresolved identity","B11868 (unverified historical candidate)","entire release","No original auction title, lot URL, source image or verified source join survives. All recovered observation sets, the v2 comparison and the source index were checked. Historical candidate notes only: age 15; ABV 53.5%. Skip the entire row. The candidate name and facts are clues, not verified bottle data. Do not replay edits, claim a match, create an alias/reference, or add a guessed release. No production write.",""
"1606","Pokeno 2019 Prohibition Porter 3 Year Old","SKIPPED — unresolved identity","","entire release","Main label says Prohibition Porter and Liberty Brewing collaboration; lower label says Oloroso Sherry Cask and has sample-like overprinting. The generic 2019 Prohibition Porter archive describes bourbon/porter cask 51 distilled 13 June 2019, while this label appears to show a different distillation date. Do not mix facts across these releases. Exact marketed cask/finish identity is unresolved.","https://whiskyauctioneer.com/whisky-lot/5280640/pokeno-2019-prohibition-porter-3-year-old | https://www.whisky.com/whisky-database/details/pokeno-prohibition-porter.html"
"1616","Original source missing — SMWS G15.11 Worlds collide candidate only","SKIPPED — unresolved identity","B49567 (unverified historical candidate)","entire release","No original auction title, lot URL, source image or verified source join survives. All recovered observation sets, the v2 comparison and the source index were checked. Historical candidate notes only: age 13; ABV 58.1%; year 2008; SMWS G15.11. G15.11 and its exact traits belong to a proposed SMWS candidate, not a recovered label. Skip the entire row. The candidate name and facts are clues, not verified bottle data. Do not replay edits, claim a match, create an alias/reference, or add a guessed release. No production write.",""
"1624","Ryuka 2023 3-year-old Single Cask - #26","ADDED — optional facts left blank","B52798","maltPhenolPpm | releaseMonth | releaseDay | caskNumber | image","The exact cask number, release month and day, malt phenol PPM and flavor profile remain unknown. The distillation and bottling months are retained in the description because the Bottle form has no corresponding month fields. Barcode and bottle number are evidence but are not editable identity fields in this API. Exact clean front and back images saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/5283815/ryuka-2023-3-year-old-ghost-series-26 | https://www.whiskybase.com/whiskies/whisky/304715/ryuka-2023 | https://little-happiness.jp/en/columns/ryuka-ghost-series-26-2/ | https://shinzato-shuzo.co.jp/company/ | https://www.shinzato-shuzo.co.jp/ryuka/japanese2025/"
"1627","Seagram 25 Year Old Club Scotch Whisky","SKIPPED — unresolved identity","B52799 (deleted; tombstone only)","entire release","SKIPPED with no production Bottle remaining. Exact label and independent sources prove The Seagram 25 Year Club, a 25-year-old blended Scotch at 40% ABV produced and bottled by Joseph E. Seagram & Sons Ltd for employees with at least 25 years of service. Peated's current Bottle API normalizes the stable marketed expression '25 Year Club' to '25-year-old Club'. That changes the club name into age wording and violates the catalog naming rule. The guarded create returned B52799 with only this name mismatch; the unused Bottle was immediately deleted, and fresh GET and inventory checks confirm that no Bottle remains. Keep this row held until the API can preserve the exact marketed name or a catalog owner approves another exact representation. Do not create a generic Seagram Brand or assign unproven component distilleries.","https://whiskyauctioneer.com/whisky-lot/5283627/seagram-25-year-old-club-scotch-whisky | https://www.thewhiskyexchange.com/p/40804/seagram-25-year-old-club | https://www.prestigewhiskyauction.com/lot-570137/seagram-25-year-old-25-year-club-staff-bottle | https://www.mctears.co.uk/auction/lot/lot-156---seagram-25-year-old-25-year-club-staff-bottle/?lot=420908"
"1642","Original source missing — Brühler Whiskyhaus Islay South Coast 21-year-old - A Dream of Scotland candidate only","SKIPPED — unresolved identity","B1784 (unverified historical candidate)","entire release","No original auction title, lot URL, source image or verified source join survives. All recovered observation sets, the v2 comparison and the source index were checked. Historical candidate notes only: age 21; {""abv"":48.8}. The candidate's unnamed Islay South Coast provenance does not establish an actual distiller. Skip the entire row. The candidate name and facts are clues, not verified bottle data. Do not replay edits, claim a match, create an alias/reference, or add a guessed release. No production write.",""
"1643","The Lakes Steel Bonnets - First Edition","ADDED — optional facts left blank","B52442","statedAge | singleCask | caskStrength | maltPhenolPpm | vintageYear | bottlingYear | releaseMonth | releaseDay | maturation | caskNumber | outturn","Unnamed Scotch producers remain unassigned. No exact producer maturation wording, cask code, outturn, bottling year or vintage established. No aliases, references, series, merges or grouping changes proposed.","https://assets.whiskyauctioneer.com/2026-08/8213985-001.jpg | https://lakesdistillery.com/blogs/news/englands-best-2019-world-whiskies-awards | https://lakesdistillery.com/blogs/news/konnichiwa-to-japan | https://lakesdistillery.com/blogs/news/steel-bonnets-gold-award | https://www.bottledandboxed.com/product/10859_steel-bonnets-the-lakes-blended-malt-whisky-70cl"
"1647","Hillwood Single Cask Matured","ADDED — optional facts left blank","B52800","statedAge | caskStrength | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | maturation | outturn | image","The stated age, exact age, series, edition, flavor profile, cask strength, vintage year, bottling date, release date, maturation type, exact outturn and malt phenol PPM remain unknown. The label date is retained only in the description because its role is not stated. Package volume is not an editable Bottle identity field. Exact clean front and back images saved locally, plus a rotated label crop used to verify cask, bottle and date fields. Upload pending because the JSON CLI does not accept multipart files.","https://whiskyauctioneer.com/whisky-lot/7044103/tamar-valley-2020-hillwood-single-cask-matured | https://whiskyauctioneer.com/learn/explore-whisky/bottles/tamar-valley-2020-hillwood-single-cask-matured?v=5292812 | https://www.hillwoodwhisky.com.au/pages/our-single-malt-whisky-process-hillwood-whisky | https://www.hillwoodwhisky.com.au/"
"1659","Original source missing — Whisky-Doris Irish Single Malt 1991 - The Nose Art - 1991 Vintage candidate only","SKIPPED — unresolved identity","B3231 (unverified historical candidate)","entire release","No original auction title, lot URL, source image or verified source join survives. All recovered observation sets, the v2 comparison and the source index were checked. Historical candidate notes only: year 1991; {""abv"":48.1}. The candidate's unnamed Irish malt provenance does not establish an actual distiller. Skip the entire row. The candidate name and facts are clues, not verified bottle data. Do not replay edits, claim a match, create an alias/reference, or add a guessed release. No production write.",""
"1660","The Real MacKenzie Scotch Blend","EXISTING — exact duplicate; no changes","B52318","statedAge | noAgeStatement | singleCask | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | maturation | caskNumber | outturn | flavorProfile | image","The exact row 1660 and row 1661 bottles have the same label design, 40% ABV, 75cl volume, P. Mackenzie bottler wording, back-label text and GTIN 5010406002015. Their printed physical bottle serials differ, which does not create a catalog release. B52318 is the exact 40% blended Scotch release. Fresh complete Brand inventory contains only B52318. Identity match only. The exact labels do not state an age, cask status, cask type, outturn, color, filtration or phenol level. The auction's 1980s estimate is not stored as a structured date. Both exact unwatermarked front and back images are saved locally; the existing Bottle has no image, and the JSON CLI cannot upload one.","https://whiskyauctioneer.com/whisky-lot/5283391/real-mackenzie-scotch-blend | https://whiskyauctioneer.com/whisky-lot/5283388/real-mackenzie-scotch-whisky | https://whiskyauctioneer.com/learn/explore-whisky/bottles/real-mackenzie-scotch-whisky-1?v=5286536 | https://www.whiskybase.com/whiskies/whisky/86705/the-real-mackenzie-scotch-whisky"
"1661","The Real MacKenzie Scotch Whisky","ADDED EARLIER — exact bottle verified","B52318","statedAge | noAgeStatement | singleCask | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | maturation | caskNumber | outturn | flavorProfile | image","The earlier guarded run created B52318. Fresh GET and complete Brand inventory now verify its exact stable name, Brand E1423, bottler E5691, blended-whisky category, 40% ABV, empty distiller list, singleton group and empty aliases against both exact labels and the exact Whisky Auctioneer product record. Identity match only. The exact labels do not state an age, cask status, cask type, outturn, color, filtration or phenol level. The auction's 1980s estimate is not stored as a structured date. Both exact unwatermarked front and back images are saved locally; the existing Bottle has no image, and the JSON CLI cannot upload one.","https://whiskyauctioneer.com/whisky-lot/5283391/real-mackenzie-scotch-blend | https://whiskyauctioneer.com/whisky-lot/5283388/real-mackenzie-scotch-whisky | https://whiskyauctioneer.com/learn/explore-whisky/bottles/real-mackenzie-scotch-whisky-1?v=5286536 | https://www.whiskybase.com/whiskies/whisky/86705/the-real-mackenzie-scotch-whisky"
"1663","Victoria Wine Highland Malt Scotch Whisky - 125th Anniversary","ADDED — optional facts left blank","B52801","caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | releaseMonth | releaseDay | maturation | caskNumber | outturn | image","The component distilleries, series, vintage year, release month and day, maturation, cask number, outturn, cask-strength status, natural-color status, chill-filtration status, malt phenol PPM and flavor profile remain unknown. The 75cl package volume is not an editable Bottle identity field. Exact clean front and back images saved locally. Upload pending because the JSON CLI does not accept multipart files.","https://whiskyauctioneer.com/whisky-lot/5281005/victoria-wine-12-year-old-highland-malt-celebrating-125-years | https://whisky.auction/auctions/lot/85233/whyte-mackay-12-year-old-highland-malt | https://www.whiskyhammer.com/item/89311/Whyte--Mackay/Victoria-Wine---12-Year-Old-Highland-Malt-75cl.html | https://live.whisky-onlineauctions.com/collections/1015?bytag=no-tags&page=17&show_products=24&sort_by=products-a-z"
"1665","Walker's De Luxe Straight Bourbon Whiskey","ADDED — optional facts left blank","B52802","statedAge | bottler | caskStrength | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | caskNumber | outturn | image","The numerical age, bottling and release dates, bottler, series, edition, cask number, outturn, cask-strength status, chill-filtration status, malt phenol PPM and flavor profile remain unknown. The auction's 1980s date is an estimate only. The 75cl package volume and barcode are not editable Bottle identity fields. Exact clean front and back images saved locally. Upload pending because the JSON CLI does not accept multipart files.","https://whiskyauctioneer.com/whisky-lot/5283498/walkers-de-luxe-bourbon-1980s | https://whisky.auction/auctions/lot/91247/walker-s-de-luxe | https://www.finespirits.auction/uk/acheter-spi/B2264761-236-1-Bottle-Bourbon-WALKERS-De-Luxe-Bourbon-Brown.jsp | https://www.ttb.gov/system/files/images/pdfs/rulings/2016-3.pdf"
"1666","Wallace Single Malt Scotch Liqueur 50cl","SKIPPED — not whisky","","entire release","Exact label reads Wallace Single Malt Scotch Whisky Liqueur, 35% and 50cl. It is a whisky-based liqueur, not a single-malt whisky release. Exclude the entire row. Auction metadata says 35cl despite its 50cl title and label; no conflicting size or other facts imported. No production write.","https://whiskyauctioneer.com/whisky-lot/5281020/wallace-single-malt-scotch-liqueur-50cl"
"1667","West Midlands Distillery Albion","ADDED — optional facts left blank","B52803","statedAge | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | releaseMonth | releaseDay | image","The numerical age, exact release date, cask-strength status, natural-color status, chill-filtration status, malt phenol PPM and flavor profile remain unknown. The 70cl package volume is not an editable Bottle identity field. Exact producer product image saved locally. Upload pending because the JSON CLI does not accept multipart files.","https://www.westmidlandsdistillery.co.uk/ | https://whiskyauctioneer.com/learn/explore-whisky/bottles/west-midlands-wmd-albion?v=5293115 | https://www.masterofmalt.com/whiskies/west-midlands-distillery/west-midlands-distillery-albion-whisky/?sku=146916 | https://www.whiskybase.com/whiskies/whisky/301769/west-midlands-distillery-albion"
"1668","West Midlands Distillery Rowielia","ADDED — optional facts left blank","B52804","statedAge | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | image","The numerical age, bottling and release dates, cask-strength status, natural-color status, chill-filtration status, malt phenol PPM and flavor profile remain unknown. Conflicting date clues were not stored. The 70cl package volume is not an editable Bottle identity field. Exact producer product image saved locally. Upload pending because the JSON CLI does not accept multipart files.","https://www.westmidlandsdistillery.co.uk/ | https://www.weedram.co.uk/product/west-midlands-distillery-rowielia/ | https://www.thegrandwhiskyauction.com/lot-871787/west-midlands-rowielia-single-malt-whisky/auction-95 | https://www.whiskyshop.com/west-midlands-rowielia-single-malt-whisky-70cl"
"1669","White Lady Scotch Whisky","ADDED — optional facts left blank","B52805","statedAge | distillers | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | maturation | caskNumber | outturn | image","The component distilleries, numerical age, bottling and release dates, series, edition, maturation, cask number, outturn, cask-strength status, natural-color status, chill-filtration status, malt phenol PPM and flavor profile remain unknown. The auction's 1960s date is an estimate only. The 750cc package volume is not an editable Bottle identity field. Exact clean front and back images saved locally. Upload pending because the JSON CLI does not accept multipart files.","https://whiskyauctioneer.com/whisky-lot/8213544/white-lady-scotch-whisky-1960s | https://www.barnebys.se/auktioner/objekt/ambassador-8yo-de-luxe-white-lady-b-QpdDjrh-621469823 | https://www.whiskybase.com/whiskies/brand/88643/whiskies"
"1671","Whittaker's Single Malt English Whisky - 2024 First Edition","ADDED — optional facts left blank","B52453","statedAge | caskStrength | maltPhenolPpm | vintageYear | releaseMonth | releaseDay","Mixed 2019–2020 distillation means no single vintage year. No numerical age, cask-strength claim, precise release month/day, PPM, flavor classification or named brand series is verified. Do not derive age from dates or reuse original ASB cask numbers 5–10 as final quarter-cask IDs.","https://www.whittakersdistillery.com/collections/whisky-1/products/2024-first-edition-48-3-abv-double-bourbon-cask-aged-english-single-malt-whisky | https://www.whittakersdistillery.com/pages/contact-whittakers-distillery | https://whiskyauctioneer.com/whisky-lot/7043065/whittakers-2019-2024-first-edition"
"1672","Whittaker's Single Malt English Whisky - 2025 Fortnum & Mason Edition","ADDED — optional facts left blank","B52454","statedAge | caskStrength | maltPhenolPpm | releaseMonth | releaseDay | caskNumber","A secondary auction title says age three and cask 75, but neither is verified on the inspected primary label or retailer text. Leave both facts null, and do not calculate age from dates. No cask-strength claim, precise release date, PPM, flavor classification or named series verified. High ABV is not proof of cask strength.","https://whiskyauctioneer.com/whisky-lot/7044151/whittakers-2021-single-malt-english-whisky | https://www.fortnumandmason.com/fortnums-x-whittakers-exclusive-english-single-malt-whisky-palo-cortado-70cl | https://www.whiskyhammer.com/item/214300/Other/Whittakers---2021-Ex-Palo-Cortado-Single-Cask-Fortnum--Mason-Exclusive.html"
"1675","Kingsbury Caol Ila","ADDED — optional facts left blank","B52806","maltPhenolPpm | releaseYear | releaseMonth | releaseDay | image","The exact distillation and bottling dates, release year and date, series, edition, malt phenol PPM and flavor profile remain unknown. Do not calculate or infer dates beyond the printed years. The 70cl package volume and individual bottle numbers are not editable Bottle identity fields. Exact clean front and back images saved locally. Upload pending because the JSON CLI does not accept multipart files.","https://whiskyauctioneer.com/whisky-lot/5231485/caol-ila-2011-9-year-old | https://whiskyauctioneer.com/learn/explore-whisky/bottles/caol-ila-2011-9-year-old-0?v=5014410 | https://www.whiskybase.com/whiskies/whisky/273204/caol-ila-2011-kb | https://whiskygallery.com.my/products/caol-ila-2011-kingsbury-9-year-old-celtic-label | https://www.jisys.co.jp/item/singlemaltwhisky/18.html | https://www.just-whisky.co.uk/product/caol-ila-9-years-old-2011-kingsbury-single-fresh-oloroso-hogshead-no5836-1499297"
